Creature Life;Creature Status;Collected Jewels;Completed Leaflets;Amount Learned Rules;Success Rate;Time[s]
1;LOOSER;2;0;16;0;17
2;LOOSER;4;0;12;0;37
3;LOOSER;4;0;24;0;36
4;LOOSER;5;0;16;0;26
5;LOOSER;6;0;13;0;25
6;LOOSER;6;0;14;0;46
7;WINNER;9;1;22;0.142857142857143;24
8;WINNER;12;2;13;0.25;23
9;LOOSER;14;2;11;0.222222222222222;47
10;WINNER;17;3;24;0.3;6
11;LOOSER;19;3;27;0.272727272727273;57
12;WINNER;22;4;17;0.333333333333333;39
13;LOOSER;23;4;22;0.307692307692308;27
14;LOOSER;25;4;23;0.285714285714286;27
15;WINNER;28;5;22;0.333333333333333;47
16;LOOSER;30;5;33;0.3125;37
17;LOOSER;32;5;15;0.294117647058824;37
18;WINNER;35;6;22;0.333333333333333;27
19;LOOSER;37;6;24;0.315789473684211;37
20;LOOSER;38;6;13;0.3;57
21;WINNER;41;7;15;0.333333333333333;42
22;LOOSER;43;7;11;0.318181818181818;37
23;WINNER;46;8;16;0.347826086956522;17
24;LOOSER;47;8;12;0.333333333333333;27
25;LOOSER;49;8;13;0.32;37
26;LOOSER;51;8;16;0.307692307692308;17
27;WINNER;54;9;34;0.333333333333333;16
28;WINNER;57;10;32;0.357142857142857;16
29;WINNER;60;11;26;0.379310344827586;18
30;WINNER;63;12;29;0.4;54
31;WINNER;66;13;22;0.419354838709677;52
32;WINNER;69;14;21;0.4375;8
33;WINNER;72;15;24;0.454545454545455;30
34;WINNER;75;16;13;0.470588235294118;34
35;LOOSER;77;16;22;0.457142857142857;17
36;WINNER;80;17;26;0.472222222222222;3
37;LOOSER;82;17;28;0.459459459459459;37
38;WINNER;85;18;23;0.473684210526316;45
39;WINNER;88;19;39;0.487179487179487;29
40;WINNER;91;20;22;0.5;35
41;WINNER;94;21;15;0.51219512195122;1
42;LOOSER;96;21;15;0.5;27
43;WINNER;99;22;16;0.511627906976744;12
44;WINNER;102;23;17;0.522727272727273;49
45;LOOSER;104;23;28;0.511111111111111;27
46;WINNER;107;24;17;0.521739130434783;25
47;WINNER;110;25;34;0.531914893617021;10
48;WINNER;113;26;20;0.541666666666667;6
49;LOOSER;115;26;21;0.530612244897959;27
50;LOOSER;116;26;23;0.52;57
51;WINNER;119;27;15;0.529411764705882;55
52;WINNER;122;28;30;0.538461538461538;47
53;WINNER;125;29;22;0.547169811320755;44
54;LOOSER;127;29;25;0.537037037037037;27
55;WINNER;130;30;15;0.545454545454545;24
56;WINNER;133;31;21;0.553571428571429;13
57;WINNER;136;32;17;0.56140350877193;12
58;WINNER;139;33;22;0.568965517241379;8
59;LOOSER;141;33;16;0.559322033898305;47
60;WINNER;144;34;18;0.566666666666667;19
61;LOOSER;146;34;14;0.557377049180328;47
62;WINNER;149;35;21;0.564516129032258;41
63;WINNER;152;36;20;0.571428571428571;12
64;WINNER;155;37;24;0.578125;24
65;WINNER;158;38;20;0.584615384615385;12
66;WINNER;161;39;16;0.590909090909091;10
67;LOOSER;162;39;37;0.582089552238806;48
68;WINNER;165;40;19;0.588235294117647;55
69;LOOSER;166;40;22;0.579710144927536;37
70;WINNER;169;41;30;0.585714285714286;54
71;WINNER;172;42;29;0.591549295774648;18
72;LOOSER;174;42;19;0.583333333333333;47
73;WINNER;177;43;15;0.589041095890411;27
74;LOOSER;179;43;14;0.581081081081081;37
75;WINNER;182;44;25;0.586666666666667;32
76;LOOSER;184;44;20;0.578947368421053;57
77;WINNER;187;45;24;0.584415584415584;57
